vehicle_id,agent_name,vehicle_type,zone,timestamp,hour,speed_kmh,distance_km,idle_time_min,delivery_time_min,status,latitude,longitude
VH007,Agent_007,Bike,Adyar,2024-01-15 18:39:00,18,35.0,3.86,4.7,54.6,Delayed,12.960567,80.243272
VH007,Agent_007,Bike,Adyar,2024-02-07 21:50:00,21,19.3,12.14,12.9,57.7,Delayed,13.048501,80.24581
VH007,Agent_007,Bike,Adyar,2024-03-07 18:17:00,18,20.2,5.85,13.9,58.4,Delayed,13.040405,80.269614
VH007,Agent_007,Bike,Adyar,2024-03-27 23:09:00,23,30.2,5.7,10.6,30.7,Active,13.00889,80.255752
VH007,Agent_007,Bike,Adyar,2024-03-15 21:16:00,21,47.4,0.93,12.1,12.3,Active,12.970724,80.278745
VH007,Agent_007,Bike,Adyar,2024-02-06 22:02:00,22,17.1,14.48,19.1,28.6,Idle,13.045246,80.301893
VH007,Agent_007,Bike,Adyar,2024-03-24 17:07:00,17,35.8,9.11,2.0,57.3,Delayed,13.042686,80.243516
VH007,Agent_007,Bike,Adyar,2024-03-20 18:25:00,18,35.7,7.94,4.2,18.1,Active,13.047562,80.291801
VH007,Agent_007,Bike,Adyar,2024-03-12 15:49:00,15,29.1,9.25,0.4,39.2,Active,12.980645,80.24501
VH008,Agent_008,Cycle,Anna Nagar,2024-01-14 19:32:00,19,24.6,9.66,13.4,11.6,Active,13.051949,80.21578
VH008,Agent_008,Cycle,Anna Nagar,2024-01-19 17:07:00,17,40.3,1.28,8.5,52.7,Delayed,13.128615,80.229703
VH008,Agent_008,Cycle,Anna Nagar,2024-01-17 21:04:00,21,19.4,8.23,18.7,21.0,Idle,13.096501,80.259105
VH008,Agent_008,Cycle,Anna Nagar,2024-03-14 22:42:00,22,31.8,3.63,0.4,32.4,Active,13.049008,80.211933
VH008,Agent_008,Cycle,Anna Nagar,2024-01-16 21:05:00,21,34.3,13.8,5.6,41.2,Active,13.104702,80.230348
VH008,Agent_008,Cycle,Anna Nagar,2024-01-22 12:04:00,12,36.7,0.53,0.9,56.8,Delayed,13.070949,80.189459
VH008,Agent_008,Cycle,Anna Nagar,2024-01-19 21:38:00,21,36.2,11.89,10.8,50.8,Delayed,13.121707,80.251424
VH008,Agent_008,Cycle,Anna Nagar,2024-02-09 21:44:00,21,36.2,6.88,8.3,17.3,Active,13.086134,80.210252
VH008,Agent_008,Cycle,Anna Nagar,2024-02-09 18:51:00,18,36.9,11.88,6.1,22.2,Active,13.105197,80.239679
VH008,Agent_008,Cycle,Anna Nagar,2024-01-11 18:58:00,18,43.6,9.84,18.3,49.9,Idle,13.124001,80.1939
VH008,Agent_008,Cycle,Anna Nagar,2024-03-16 08:23:00,8,20.7,4.71,5.4,10.8,Active,13.092828,80.163694
VH009,Agent_009,Bike,Ambattur,2024-03-21 18:33:00,18,27.2,4.29,8.6,44.9,Active,13.11086,80.159064
VH009,Agent_009,Bike,Ambattur,2024-01-26 14:15:00,14,38.2,7.5,17.8,55.9,Idle,13.06735,80.108535
VH009,Agent_009,Bike,Ambattur,2024-03-10 23:51:00,23,10.6,11.26,8.4,18.3,Active,13.14656,80.140819
VH009,Agent_009,Bike,Ambattur,2024-02-06 12:15:00,12,30.8,7.81,2.5,23.8,Active,13.141299,80.126382
VH009,Agent_009,Bike,Ambattur,2024-03-09 20:12:00,20,17.1,7.07,10.8,23.4,Active,13.126589,80.113335
VH009,Agent_009,Bike,Ambattur,2024-03-02 14:18:00,14,30.5,1.06,8.3,24.1,Active,13.118364,80.168543
VH009,Agent_009,Bike,Ambattur,2024-01-26 09:50:00,9,22.2,8.49,11.2,20.7,Active,13.136909,80.202385
VH009,Agent_009,Bike,Ambattur,2024-01-07 11:36:00,11,5.7,13.2,16.2,30.9,Idle,13.143819,80.131883
VH009,Agent_009,Bike,Ambattur,2024-03-13 09:29:00,9,32.2,4.9,2.8,30.3,Active,13.108197,80.112646
VH009,Agent_009,Bike,Ambattur,2024-03-12 14:52:00,14,36.1,14.61,12.6,57.5,Delayed,13.105195,80.122129
VH009,Agent_009,Bike,Ambattur,2024-03-25 18:31:00,18,40.4,2.06,6.8,34.4,Active,13.079944,80.129824
VH010,Agent_010,Bike,Mylapore,2024-03-17 19:43:00,19,51.2,6.55,18.1,10.2,Idle,13.05282,80.245593
VH010,Agent_010,Bike,Mylapore,2024-03-22 10:13:00,10,34.9,1.61,12.1,52.5,Delayed,13.082287,80.29139
VH010,Agent_010,Bike,Mylapore,2024-02-07 11:58:00,11,55.5,4.26,4.5,59.4,Delayed,13.02876,80.242373
VH010,Agent_010,Bike,Mylapore,2024-03-10 16:06:00,16,42.4,6.45,0.7,53.3,Delayed,13.022397,80.293385
VH010,Agent_010,Bike,Mylapore,2024-02-01 14:57:00,14,35.3,2.36,0.5,31.9,Active,13.034217,80.227383
VH010,Agent_010,Bike,Mylapore,2024-02-06 23:17:00,23,39.3,5.01,18.6,51.3,Idle,13.035962,80.264947
VH010,Agent_010,Bike,Mylapore,2024-02-28 11:04:00,11,27.0,0.55,17.8,34.6,Idle,13.02665,80.279185
VH010,Agent_010,Bike,Mylapore,2024-03-25 14:15:00,14,15.0,7.06,3.2,55.4,Delayed,13.050309,80.22213
VH010,Agent_010,Bike,Mylapore,2024-01-18 10:32:00,10,47.3,2.69,6.9,31.2,Active,13.037114,80.303249
VH010,Agent_010,Bike,Mylapore,2024-02-28 21:35:00,21,12.8,9.38,15.4,13.7,Idle,13.052669,80.233893
VH010,Agent_010,Bike,Mylapore,2024-03-25 23:55:00,23,32.4,11.61,4.6,47.2,Delayed,12.989451,80.276178
VH010,Agent_010,Bike,Mylapore,2024-03-27 20:57:00,20,22.8,2.32,15.3,52.6,Idle,13.080823,80.275147
VH010,Agent_010,Bike,Mylapore,2024-03-22 15:57:00,15,49.0,6.55,19.3,33.7,Idle,13.032625,80.272162
VH011,Agent_011,Cycle,Chromepet,2024-01-02 12:41:00,12,15.1,2.76,0.6,41.2,Active,12.995746,80.13481
VH011,Agent_011,Cycle,Chromepet,2024-03-02 10:51:00,10,33.4,8.28,13.6,52.1,Delayed,12.908719,80.128098
VH011,Agent_011,Cycle,Chromepet,2024-01-04 12:10:00,12,22.5,9.38,11.6,32.6,Active,12.986088,80.098527
VH011,Agent_011,Cycle,Chromepet,2024-01-25 19:21:00,19,22.9,2.03,11.7,14.8,Active,12.913416,80.165874
VH011,Agent_011,Cycle,Chromepet,2024-03-01 13:12:00,13,40.2,1.07,9.2,24.7,Active,12.964494,80.183947
VH011,Agent_011,Cycle,Chromepet,2024-02-20 18:07:00,18,39.8,7.97,18.1,21.6,Idle,12.929803,80.113944
VH011,Agent_011,Cycle,Chromepet,2024-01-04 14:44:00,14,37.6,6.73,18.4,12.8,Idle,12.976661,80.176883
VH012,Agent_012,Scooter,Velachery,2024-02-12 15:58:00,15,29.7,1.91,0.5,48.4,Delayed,12.968702,80.245641
VH012,Agent_012,Scooter,Velachery,2024-01-19 12:02:00,12,31.4,11.92,7.1,28.8,Active,12.96558,80.261076
VH012,Agent_012,Scooter,Velachery,2024-02-07 19:40:00,19,27.4,9.11,0.3,53.3,Delayed,13.006587,80.243454
VH012,Agent_012,Scooter,Velachery,2024-01-19 08:14:00,8,43.2,7.06,17.9,33.1,Idle,12.941812,80.258255
VH012,Agent_012,Scooter,Velachery,2024-01-27 21:07:00,21,45.7,6.54,19.5,23.8,Idle,12.963505,80.257552
VH013,Agent_013,Cycle,Mylapore,2024-02-14 13:08:00,13,30.3,10.29,15.8,22.0,Idle,13.02572,80.218684
VH013,Agent_013,Cycle,Mylapore,2024-01-08 16:17:00,16,33.9,12.46,10.9,36.3,Active,13.081861,80.274944
VH013,Agent_013,Cycle,Mylapore,2024-01-20 13:13:00,13,28.4,1.36,11.6,40.5,Active,13.049984,80.262445
VH013,Agent_013,Cycle,Mylapore,2024-03-18 18:38:00,18,17.9,1.25,1.7,25.2,Active,13.054052,80.292837
VH013,Agent_013,Cycle,Mylapore,2024-01-02 10:56:00,10,15.4,5.72,10.5,19.7,Active,13.065958,80.296562
VH013,Agent_013,Cycle,Mylapore,2024-01-24 08:58:00,8,29.9,2.23,9.9,55.6,Delayed,12.992556,80.272553
VH013,Agent_013,Cycle,Mylapore,2024-03-18 12:58:00,12,19.2,8.66,11.9,20.0,Active,13.030953,80.30637
VH013,Agent_013,Cycle,Mylapore,2024-03-01 08:47:00,8,20.1,12.76,4.7,11.0,Active,13.001099,80.293751
VH013,Agent_013,Cycle,Mylapore,2024-02-06 09:45:00,9,26.1,3.16,18.7,41.1,Idle,13.048622,80.227712
VH013,Agent_013,Cycle,Mylapore,2024-01-21 18:54:00,18,32.9,7.83,3.0,29.5,Active,12.994076,80.299786
VH013,Agent_013,Cycle,Mylapore,2024-02-23 09:16:00,9,23.9,8.97,16.4,24.1,Idle,13.057424,80.225735
VH013,Agent_013,Cycle,Mylapore,2024-01-14 08:23:00,8,12.6,10.52,1.3,23.0,Active,13.06808,80.312325
VH014,Agent_014,Scooter,Anna Nagar,2024-02-27 20:45:00,20,13.1,11.55,2.1,34.8,Active,13.1336,80.235438
VH014,Agent_014,Scooter,Anna Nagar,2024-02-23 23:23:00,23,21.4,10.46,1.2,34.1,Active,13.112715,80.21594
VH014,Agent_014,Scooter,Anna Nagar,2024-03-03 10:33:00,10,27.4,0.67,4.8,46.9,Delayed,13.077422,80.250735
VH014,Agent_014,Scooter,Anna Nagar,2024-03-24 12:24:00,12,29.8,10.8,10.8,38.1,Active,13.036135,80.206966
VH014,Agent_014,Scooter,Anna Nagar,2024-02-10 21:37:00,21,18.0,13.03,16.2,21.9,Idle,13.04063,80.171982
VH015,Agent_015,Bike,OMR,2024-03-26 21:56:00,21,33.9,9.8,17.0,54.0,Idle,12.925604,80.236237
VH015,Agent_015,Bike,OMR,2024-02-08 18:05:00,18,20.1,2.52,10.5,16.3,Active,12.947217,80.215387
VH015,Agent_015,Bike,OMR,2024-02-23 16:42:00,16,38.3,4.83,0.2,37.8,Active,12.87336,80.274222
VH015,Agent_015,Bike,OMR,2024-03-01 23:05:00,23,25.2,5.56,15.7,13.9,Idle,12.852215,80.274888
VH015,Agent_015,Bike,OMR,2024-03-20 16:19:00,16,32.7,11.71,10.7,41.3,Active,12.85838,80.233285
VH015,Agent_015,Bike,OMR,2024-02-17 18:51:00,18,30.2,12.32,14.7,38.7,Active,12.94793,80.23021
VH015,Agent_015,Bike,OMR,2024-03-18 13:12:00,13,47.4,3.39,11.4,32.7,Active,12.896454,80.240656
VH015,Agent_015,Bike,OMR,2024-02-05 16:56:00,16,41.5,2.78,14.5,24.6,Active,12.909431,80.268016
VH015,Agent_015,Bike,OMR,2024-03-06 14:40:00,14,56.3,4.06,15.8,42.6,Idle,12.878738,80.196712
VH015,Agent_015,Bike,OMR,2024-02-17 12:14:00,12,20.3,3.76,18.0,14.6,Idle,12.89737,80.213235
VH015,Agent_015,Bike,OMR,2024-01-07 08:17:00,8,20.9,12.26,11.4,44.2,Active,12.948439,80.276521
VH015,Agent_015,Bike,OMR,2024-01-02 22:10:00,22,31.8,3.55,7.7,51.9,Delayed,12.920816,80.23151
VH015,Agent_015,Bike,OMR,2024-03-07 15:56:00,15,41.4,14.0,17.2,44.7,Idle,12.919473,80.194162
VH015,Agent_015,Bike,OMR,2024-03-09 23:08:00,23,23.1,6.35,15.0,42.0,Active,12.942093,80.260154
VH016,Agent_016,Scooter,T Nagar,2024-02-01 22:01:00,22,14.2,0.57,15.0,14.9,Active,13.085073,80.270706
VH016,Agent_016,Scooter,T Nagar,2024-03-15 23:55:00,23,52.0,3.81,11.6,20.9,Active,12.996322,80.186737
VH016,Agent_016,Scooter,T Nagar,2024-03-06 21:53:00,21,44.2,2.68,8.3,44.4,Active,13.090528,80.199142
VH016,Agent_016,Scooter,T Nagar,2024-03-02 09:27:00,9,24.4,13.77,15.9,59.2,Idle,13.051213,80.222189
VH016,Agent_016,Scooter,T Nagar,2024-02-22 20:37:00,20,28.6,9.6,12.2,54.2,Delayed,13.033282,80.211441
VH016,Agent_016,Scooter,T Nagar,2024-01-15 22:09:00,22,44.9,5.57,1.1,41.9,Active,12.997438,80.270572
VH016,Agent_016,Scooter,T Nagar,2024-03-05 10:25:00,10,30.1,14.39,15.9,26.1,Idle,13.068699,80.278577
VH016,Agent_016,Scooter,T Nagar,2024-03-28 15:17:00,15,30.6,4.6,17.6,58.5,Idle,13.076765,80.208835
VH016,Agent_016,Scooter,T Nagar,2024-03-21 20:13:00,20,17.2,1.58,11.1,25.1,Active,13.087205,80.244717
VH016,Agent_016,Scooter,T Nagar,2024-01-15 12:36:00,12,28.3,10.89,14.5,54.7,Delayed,13.014664,80.25127
VH016,Agent_016,Scooter,T Nagar,2024-01-18 13:31:00,13,11.6,14.06,9.5,40.2,Active,13.003156,80.251257
VH016,Agent_016,Scooter,T Nagar,2024-01-09 10:09:00,10,45.3,5.4,16.4,26.8,Idle,13.043831,80.261332
VH016,Agent_016,Scooter,T Nagar,2024-01-12 10:34:00,10,44.2,5.86,17.2,10.5,Idle,13.046991,80.240194
VH017,Agent_017,Scooter,Anna Nagar,2024-02-22 14:07:00,14,30.8,11.45,7.6,18.1,Active,13.122665,80.200448
VH017,Agent_017,Scooter,Anna Nagar,2024-02-09 13:16:00,13,37.7,13.23,0.8,14.4,Active,13.105408,80.181396
VH017,Agent_017,Scooter,Anna Nagar,2024-03-19 13:35:00,13,46.4,9.35,5.2,13.8,Active,13.048637,80.161554
VH017,Agent_017,Scooter,Anna Nagar,2024-02-22 13:20:00,13,42.7,14.41,2.0,27.1,Active,13.074224,80.203847
VH017,Agent_017,Scooter,Anna Nagar,2024-02-14 19:21:00,19,8.9,7.24,8.7,18.8,Active,13.125416,80.194926
VH018,Agent_018,Bike,Porur,2024-02-27 13:50:00,13,48.0,11.26,12.7,51.3,Delayed,13.025554,80.168909
VH018,Agent_018,Bike,Porur,2024-01-14 21:01:00,21,30.9,14.4,19.2,39.9,Idle,13.072136,80.201652
VH018,Agent_018,Bike,Porur,2024-01-07 13:55:00,13,9.6,11.03,5.5,56.0,Delayed,13.031814,80.204703
VH018,Agent_018,Bike,Porur,2024-02-19 23:16:00,23,29.3,5.06,15.9,25.2,Idle,13.035162,80.139575
VH018,Agent_018,Bike,Porur,2024-03-06 09:24:00,9,14.3,8.25,17.1,28.5,Idle,12.993486,80.119588
VH018,Agent_018,Bike,Porur,2024-02-02 21:33:00,21,38.0,9.56,4.9,34.6,Active,12.998705,80.12189
VH018,Agent_018,Bike,Porur,2024-01-08 09:37:00,9,34.4,3.94,16.8,24.2,Idle,13.004088,80.141267
VH018,Agent_018,Bike,Porur,2024-01-19 23:58:00,23,18.7,14.79,0.2,14.8,Active,13.075579,80.154096
VH018,Agent_018,Bike,Porur,2024-03-27 09:37:00,9,18.2,11.88,15.5,41.8,Idle,13.005129,80.110787
VH018,Agent_018,Bike,Porur,2024-03-19 08:39:00,8,36.0,6.33,17.6,38.3,Idle,13.002794,80.134559
VH018,Agent_018,Bike,Porur,2024-03-23 11:40:00,11,28.7,10.42,12.2,22.4,Active,13.006533,80.143127
VH019,Agent_019,Bike,Tambaram,2024-02-15 16:51:00,16,17.6,0.9,16.9,39.1,Idle,12.925242,80.119039
VH019,Agent_019,Bike,Tambaram,2024-03-06 08:17:00,8,21.6,6.35,11.9,31.3,Active,12.962258,80.142087
VH019,Agent_019,Bike,Tambaram,2024-01-08 08:37:00,8,32.6,5.24,6.4,46.6,Delayed,12.881008,80.077688
VH019,Agent_019,Bike,Tambaram,2024-02-23 10:33:00,10,37.4,9.1,6.0,52.8,Delayed,12.893352,80.070935
VH019,Agent_019,Bike,Tambaram,2024-02-24 16:54:00,16,39.1,10.26,11.8,40.2,Active,12.911947,80.098452
VH019,Agent_019,Bike,Tambaram,2024-03-09 08:11:00,8,11.8,14.91,14.0,26.2,Active,12.921153,80.124747
VH019,Agent_019,Bike,Tambaram,2024-02-26 10:45:00,10,46.4,13.06,17.3,58.3,Idle,12.878568,80.075244
VH019,Agent_019,Bike,Tambaram,2024-01-27 14:39:00,14,36.9,13.72,20.0,25.1,Idle,12.926068,80.103211
VH019,Agent_019,Bike,Tambaram,2024-03-22 14:21:00,14,33.7,1.99,16.7,55.0,Idle,12.885617,80.094741
VH020,Agent_020,Scooter,Ambattur,2024-02-23 23:56:00,23,10.7,9.54,0.6,23.6,Active,13.091224,80.142528
VH020,Agent_020,Scooter,Ambattur,2024-02-01 16:30:00,16,32.4,12.16,14.8,54.6,Delayed,13.066307,80.137008
VH020,Agent_020,Scooter,Ambattur,2024-01-27 16:09:00,16,22.2,11.41,9.6,36.1,Active,13.076276,80.193853
VH020,Agent_020,Scooter,Ambattur,2024-02-28 20:49:00,20,17.0,6.66,1.9,44.9,Active,13.123659,80.17271
VH020,Agent_020,Scooter,Ambattur,2024-03-25 09:01:00,9,29.9,8.27,7.6,14.0,Active,13.072992,80.158511
VH020,Agent_020,Scooter,Ambattur,2024-01-20 21:25:00,21,47.8,10.69,8.8,46.6,Delayed,13.122984,80.179344
VH020,Agent_020,Scooter,Ambattur,2024-02-14 15:31:00,15,17.6,8.16,11.7,34.3,Active,13.092678,80.141108
VH020,Agent_020,Scooter,Ambattur,2024-03-05 10:17:00,10,27.7,7.07,19.1,16.3,Idle,13.128892,80.161878
VH021,Agent_021,Cycle,T Nagar,2024-02-24 09:11:00,9,13.2,5.62,10.7,20.2,Active,13.001978,80.199386
VH021,Agent_021,Cycle,T Nagar,2024-03-02 10:36:00,10,36.8,3.75,19.3,24.0,Idle,13.016396,80.200168
VH021,Agent_021,Cycle,T Nagar,2024-01-02 18:02:00,18,22.9,3.74,14.3,41.3,Active,13.009137,80.273777
VH021,Agent_021,Cycle,T Nagar,2024-02-02 11:21:00,11,19.6,6.2,8.3,22.6,Active,12.999823,80.236551
VH021,Agent_021,Cycle,T Nagar,2024-02-09 09:26:00,9,33.2,8.63,10.0,16.0,Active,13.003004,80.223886
VH021,Agent_021,Cycle,T Nagar,2024-01-16 20:47:00,20,29.4,11.65,13.0,40.0,Active,13.088747,80.270651
VH021,Agent_021,Cycle,T Nagar,2024-03-15 17:26:00,17,23.1,11.5,8.2,35.9,Active,13.008889,80.250964
VH021,Agent_021,Cycle,T Nagar,2024-02-15 20:25:00,20,39.1,14.8,1.4,11.2,Active,13.084738,80.239776
VH021,Agent_021,Cycle,T Nagar,2024-02-22 09:23:00,9,10.0,2.19,19.9,30.2,Idle,13.068749,80.202804
VH021,Agent_021,Cycle,T Nagar,2024-01-13 13:44:00,13,36.5,5.26,2.9,34.4,Active,13.024168,80.226644
VH021,Agent_021,Cycle,T Nagar,2024-03-22 23:17:00,23,10.5,5.73,18.3,58.2,Idle,13.003284,80.245162
VH021,Agent_021,Cycle,T Nagar,2024-02-12 08:00:00,8,30.6,6.65,17.4,56.6,Idle,13.020663,80.242224
VH022,Agent_022,Bike,Mylapore,2024-02-28 11:30:00,11,29.2,4.32,6.0,40.6,Active,13.040059,80.222782
VH022,Agent_022,Bike,Mylapore,2024-01-23 16:11:00,16,15.5,7.12,0.0,31.2,Active,13.02046,80.231041
VH022,Agent_022,Bike,Mylapore,2024-02-22 23:15:00,23,42.1,13.33,8.2,21.5,Active,13.012264,80.28575
VH022,Agent_022,Bike,Mylapore,2024-03-23 15:58:00,15,23.1,10.77,14.4,59.9,Delayed,13.062823,80.277164
